city,city
cityServed,city
elevationM,number
elevation,number
canton,location
subdivisionName,location
region,location
location,location
locationTown,location
range,location
operator,operator
runwayLength,number
runwayDesignation,name
country,country
locationCountry,country
isPartOf,isPartOf
subdivisionName,isPartOf
settlementType,isPartOf
country,isPartOf
r1LengthF,number
r1Surface,type
r3LengthF,number
icaoLocationIdentifier,identifier
faa,identifier
elevationF,number
iataLocationIdentifier,identifier
nativenameA,name
leaderParty,leaderParty
capital,capital
officialLanguage,language
languages,language
language,language
leaderName,leader
leader,leader
owner,owner
owningCompany,owner
shipOwner,owner
r1LengthM,number
r4Surface,number
r5Number,number
largestcity,city
largestCity,city
r4LengthF,number
r1Number,number
arrondissement,arrondissement
mayor,mayor
r2Surface,type
r3Surface,type
runwaySurface,type
officialLanguages,language
officialLanguage,language
locationCity,city
jurisdiction,jurisdiction
demonym,demonym
aircraftHelicopter,aircraft
aircraftTransport,aircraft
currency,number
headquarter,headquarter
headquarters,headquarter
class,class
unrankedClassis,class
division,division
unrankedDivisio,division
unrankedOrdo,order
ordo,order
order,order
regionServed,region
leaderTitle,leader
hubs,airport
targetAirport,airport
hubAirport,airport
aircraftFighter,aircraft
aircraftAttack,aircraft
battle,battles
battles,battles
associatedBand,artist
associatedActs,artist
associatedMusicalArtist,artist
background,background
birthDate,date
dateOfBirth,date
genre,genre
instrument,instrument
instruments,instrument
hometown,origin
origin,origin
activeYearsStartYear,date
placeOfBirth,place
birthPlace,place
birthYear,date
occupation,occupation
recordLabel,recordLabel
label,recordLabel
placeOfDeath,place
deathPlace,place
alias,name
activeYearsEndYear,date
dateOfDeath,date
deathDate,date
nationality,nationality
field,professionalField
musicFusionGenre,genre
fusiongenres,genre
musicSubgenre,genre
stylisticOrigins,origin
stylisticOrigin,origin
derivatives,derivative
derivative,derivative
governingBody,governingBody
ethnicGroups,ethnicGroup
ethnicGroup,ethnicGroup
parentCompany,parentCompany
parent,parentCompany
bandMember,member
anthem,anthem
almaMater,origin
education,origin
birthName,name
dateOfRet,date
status,status
timeInSpace,time
mission,member
selection,selection
years,date
title,title
ribbon,wasAwarded
shipOperator,operator
operator,operator
crew2Up,pilot
crew1Up,commander
commander,commander
crewMembers,member
representative,representative
alternativeNames,name
awards,award
fossil,fossil
senators,senators
p,isPartOf
part,isPartOf
partsType,type
higher,higher
bird,bird
leaderName,leader
leader,leader
affiliations,affiliation
affiliation,affiliation
athletics,competeIn
president,president
league,league
manager,manager
position,position
ground,ground
nationalteam,club
managerClub,club
managerclubs,club
team,club
clubs,club
draftTeam,team
height,number
youthclubs,club
currentclub,club
Person/weight,number
currentteam,team
debutTeam,team
draftPick,pick
draftRound,round
formerTeam,team
number,number
college,college
draftYear,date
coach,coach
generalManager,manager
chairman,chairman
season,season
baseballfield,stadium
stadium,stadium
university,university
mostChamps,champions
architecturalStyle,style
buildingStartDate,date
startDate,date
completionDate,date
buildingEndDate,date
floorCount,number
cost,number
floorArea,number
architect,creator
formerName,name
buildingType,type
developer,creator
tenants,tenant
tenant,tenant
operator,tenant
currentTenants,tenant
address,address
openingDate,date
placeOfDeath,place
beds,number
bedCount,number
region,region
state,state
website,website
built,date
nrhpReferenceNumber,number
added,isPartOf
significantBuildings,building
significantBuilding,building
chancellor,chancellor
governmentType,type
hometown,city
significantProject,project
foundationPlace,place
foundation,place
Planet/apoapsis,apoapsis
discoverer,discoverer
epoch,number
orbitalPeriod,number
periapsis,periapsis
Planet/averageSpeed,number
escapeVelocity,number
mass,number
temperature,number
density,number
rotationPeriod,number
Planet/maximumTemperature,number
Planet/meanTemperature,number
minTemp,number
absoluteMagnitude,number
discovered,discovered
surfaceArea,number
deathCause,deathCause
stateOfOrigin,origin
doctoralStudent,student
doctoralStudents,student
areaWater,number
areaTotal,number
elevation,number
populationDensity,number
areaCode,areaCode
areaLand,number
utcOffset,UTCOffset
populationTotal,number
postalCode,postalCode
chairperson,chairperson
countySeat,countySeat
creators,creator
creator,creator
fullName,name
foundedBy,creator
keyPerson,person
keyPeople,person
product,product
lastAired,lastAired
starring,starring
first,firstAppearanceInFilm
firstAppearance,firstAppearanceInFilm
voice,voice
distributor,distributor
awards,award
award,award
ingredient,ingredient
family,family
familia,family
course,course
hasVariant,variation
variations,variation
ingredientName,ingredient
mainIngredient,ingredient
creatorOfDish,creator
servingTemperature,number
carbohydrate,carbohydrate
fat,fat
year,date
related,related
similarDish,dish
genus,genus
subdivisionName,administrativeCounty
bodyStyle,style
enginetype,type
engine,engine
manufacturer,creator
relatedMeanOfTransportation,related
related,related
transmission,transmission
wheelbase,wheelbase
shipBuilder,creator
builder,creator
MeanOfTransportation/length,number
powertype,type
powerType,type
shipClass,class
shipDisplacement,number
shipLaunch,number
shipOrdered,shipOrdered
shipPower,number
topSpeed,number
shipChristened,date
shipMaidenVoyage,maidenVoyage
shipBeam,shipBeam
shipInService,shipInService
activeYearsStartDate,date
shipLaidDown,shipLaidDown
builddate,date
cylindercount,number
totalproduction,totalProduction
countryOrigin,countryOrigin
MeanOfTransportation/diameter,number
failedLaunches,number
fail,number
stages,number
rocketStages,number
launches,number
assembly,assembly
designer,creator
designCompany,creator
modelYears,number
productionStartYear,date
width,number
layout,layout
successor,successor
locationCountry,country
fate,fate
subsid,subsidiary
subsidiary,subsidiary
comparable,comparable
finalFlight,finalFlight
function,function
launchSite,launchSite
sites,launchSite
first,maidenFlight
partial,partialFailures
site,site
rockets,associatedRocket
associatedRocket,associatedRocket
saint,saint
employer,employer
category,category
municipality,municipality
district,district
established,established
foundingDate,date
owningOrganisation,organisation
north,north
southwest,southwest
west,west
legislature,legislature
dedicatedTo,dedicatedTo
material,material
ethnicGroups,ethnicGroups
languages,language
religion,religion
nearestCity,city
office,employee
party,party
deputy,hasDeputy
residence,residence
vicePresident,inOfficeWhileVicePresident
governor,inOfficeWhileVicePresident
militaryBranch,militaryBranch
branch,militaryBranch
primeminister,inOfficeWhilePrimeMinister
primeMinister,inOfficeWhilePrimeMinister
president,inOfficeWhilePresident
spouse,spouse
majority,numberOfVotesAttained
activeYearsEndDate,date
unit,unit
dateOfDeath,date
deathYear,date
profession,profession
isPartOfMilitaryConflict,isPartOf
predecessor,predecessor
vicepresident,inOfficeWhileGovernor
colour,colour
aircraftTrainer,aircraft
garrison,garrison
place,place
capacity,number
fullname,name
nickname,name
chrtitle,title
champions,champions
placeOfBirth,place
latinName,name
rector,rector
facultySize,number
faculty,number
northeast,northeast
dean,dean
students,number
